|F| is smaller than |a|	smaller(f,a)
|E| and z are the same size	samesize(e,z)
Both |e| and z are the same size	samesize(e,z)
|E| and z are both the same size	samesize(e,z)
|E| and z both are the same size	samesize(e,z)
|E| and Z. are the same size	samesize(e,z)
Both |e| and Z. are the same size	samesize(e,z)
Both |e| and z are the same size	samesize(e,z)
|E| and Z. are both the same size	samesize(e,z)
Both |e| and Z. are the same size	samesize(e,z)
|F| and |a| both are in the same column	samecol(f,a)
|F| and |a| are in the same column	samecol(f,a)
|F| and |a| are both in the same column	samecol(f,a)
Both |f| and |a| are in the same column	samecol(f,a)
|F| is in the same column as |a|	samecol(f,a)
Both |f| and |a| are in the same column	samecol(f,a)
|E| and |f| both are in the same row	samerow(e,f)
|E| is in the same row as |f|	samerow(e,f)
Both |e| and |f| are in the same row	samerow(e,f)
|E| and |f| are both in the same row	samerow(e,f)
|E| and |f| are in the same row	samerow(e,f)
Both |e| and |f| are in the same row	samerow(e,f)
|B| is to the left of |d|	leftof(b,d)
|E| is in back of |b|	backof(e,b)
X is in front of x	frontof(x,x)
X. is in front of x	frontof(x,x)
Both X. and |d| are the same shape	sameshape(x,d)
X and |d| are both the same shape	sameshape(x,d)
X. and |d| are both the same shape	sameshape(x,d)
X. is the same shape as |d|	sameshape(x,d)
X. and |d| both are the same shape	sameshape(x,d)
Both X. and |d| are the same shape	sameshape(x,d)
X is the same shape as |d|	sameshape(x,d)
X and |d| both are the same shape	sameshape(x,d)
Both x and |d| are the same shape	sameshape(x,d)
Both x and |d| are the same shape	sameshape(x,d)
X and |d| are the same shape	sameshape(x,d)
X. and |d| are the same shape	sameshape(x,d)
|F| is to the right of |c|	rightof(f,c)
|C| likes x	likes(c,x)
|F| is larger than y	larger(f,y)
|D| adjoins |e|	adjoins(d,e)
|A| is a tetrahedron	tet(a)
Y	larger(y,y)
Y is larger than y	larger(y,y)
Y. is larger than y	larger(y,y)
Z. likes |c|	likes(z,c)
Z likes |c|	likes(z,c)
Both |c| and |d| are in the same row	samerow(c,d)
|C| and |d| both are in the same row	samerow(c,d)
Both |c| and |d| are in the same row	samerow(c,d)
|C| is in the same row as |d|	samerow(c,d)
|C| and |d| are both in the same row	samerow(c,d)
|C| and |d| are in the same row	samerow(c,d)
|E| is in front of |c|	frontof(e,c)
|F| is smaller than y	smaller(f,y)
|E| is to the left of |d|	leftof(e,d)
|E| is in the same column as |f|	samecol(e,f)
Both |e| and |f| are in the same column	samecol(e,f)
|E| and |f| are both in the same column	samecol(e,f)
Both |e| and |f| are in the same column	samecol(e,f)
|E| and |f| both are in the same column	samecol(e,f)
|E| and |f| are in the same column	samecol(e,f)
|A| is smaller than y	smaller(a,y)
Z. is to the right of |a|	rightof(z,a)
Z is to the right of |a|	rightof(z,a)
|D| and |a| are both in the same row	samerow(d,a)
Both |d| and |a| are in the same row	samerow(d,a)
|D| is in the same row as |a|	samerow(d,a)
Both |d| and |a| are in the same row	samerow(d,a)
|D| and |a| both are in the same row	samerow(d,a)
|D| and |a| are in the same row	samerow(d,a)
Y. and Z. both are the same size	samesize(y,z)
Y. and Z. are the same size	samesize(y,z)
Both y and z are the same size	samesize(y,z)
Y. and z both are the same size	samesize(y,z)
Y. and Z. are both the same size	samesize(y,z)
Both Y. and z are the same size	samesize(y,z)
Y and Z. are the same size	samesize(y,z)
Y. and z are the same size	samesize(y,z)
Y and z are both the same size	samesize(y,z)
Both y and Z. are the same size	samesize(y,z)
Both y and z are the same size	samesize(y,z)
Both Y. and Z. are the same size	samesize(y,z)
Both Y. and Z. are the same size	samesize(y,z)
Y and Z. both are the same size	samesize(y,z)
Y and z both are the same size	samesize(y,z)
Both y and Z. are the same size	samesize(y,z)
Y. and z are both the same size	samesize(y,z)
Y and Z. are both the same size	samesize(y,z)
Both Y. and z are the same size	samesize(y,z)
Y and z are the same size	samesize(y,z)
|C| is large	large(c)
Both |b| and X. are the same shape	sameshape(b,x)
|B| and x are both the same shape	sameshape(b,x)
|B| and x both are the same shape	sameshape(b,x)
Both |b| and x are the same shape	sameshape(b,x)
|B| and X. are the same shape	sameshape(b,x)
Both |b| and X. are the same shape	sameshape(b,x)
Both |b| and x are the same shape	sameshape(b,x)
|B| and x are the same shape	sameshape(b,x)
|B| and X. are both the same shape	sameshape(b,x)
|B| is the same shape as x	sameshape(b,x)
|B| and X. both are the same shape	sameshape(b,x)
X. adjoins |c|	adjoins(x,c)
X adjoins |c|	adjoins(x,c)
|F| likes y	likes(f,y)
X adjoins |d|	adjoins(x,d)
X. adjoins |d|	adjoins(x,d)
Y. is to the left of x	leftof(y,x)
Y is to the left of x	leftof(y,x)
|C| and |f| are in the same column	samecol(c,f)
|C| and |f| are both in the same column	samecol(c,f)
Both |c| and |f| are in the same column	samecol(c,f)
|C| is in the same column as |f|	samecol(c,f)
Both |c| and |f| are in the same column	samecol(c,f)
|C| and |f| both are in the same column	samecol(c,f)
|C| and y are both the same size	samesize(c,y)
|C| and y are the same size	samesize(c,y)
Both |c| and y are the same size	samesize(c,y)
Both |c| and Y. are the same size	samesize(c,y)
Both |c| and Y. are the same size	samesize(c,y)
|C| and Y. are the same size	samesize(c,y)
Both |c| and y are the same size	samesize(c,y)
|C| and y both are the same size	samesize(c,y)
|C| and Y. are both the same size	samesize(c,y)
|C| is the same size as y	samesize(c,y)
|C| and Y. both are the same size	samesize(c,y)
Y. is to the left of |d|	leftof(y,d)
Y is to the left of |d|	leftof(y,d)
|E| is a dodecahedron	dodec(e)
|B| adjoins |f|	adjoins(b,f)
|B| is to the right of |d|	rightof(b,d)
|A| is in back of |c|	backof(a,c)
|D| is in front of |a|	frontof(d,a)
|B| and |f| are the same shape	sameshape(b,f)
|B| and |f| are both the same shape	sameshape(b,f)
Both |b| and |f| are the same shape	sameshape(b,f)
|B| is the same shape as |f|	sameshape(b,f)
|B| and |f| both are the same shape	sameshape(b,f)
Both |b| and |f| are the same shape	sameshape(b,f)
|F| and |e| are the same size	samesize(f,e)
|F| and |e| are both the same size	samesize(f,e)
Both |f| and |e| are the same size	samesize(f,e)
|F| is the same size as |e|	samesize(f,e)
|F| and |e| both are the same size	samesize(f,e)
Both |f| and |e| are the same size	samesize(f,e)
X. is in back of |c|	backof(x,c)
X is in back of |c|	backof(x,c)
Both |b| and |b| are the same size	samesize(b,b)
|B| and |b| both are the same size	samesize(b,b)
|B| is the same size as |b|	samesize(b,b)
Both |b| and |b| are the same size	samesize(b,b)
|B| and |b| are both the same size	samesize(b,b)
|B| and |b| are the same size	samesize(b,b)
X. is to the right of |b|	rightof(x,b)
X is to the right of |b|	rightof(x,b)
|B| is a dodecahedron	dodec(b)
Y and |c| both are the same size	samesize(y,c)
Y. is the same size as |c|	samesize(y,c)
Y. and |c| are the same size	samesize(y,c)
Y and |c| are both the same size	samesize(y,c)
Y. and |c| are both the same size	samesize(y,c)
Both Y. and |c| are the same size	samesize(y,c)
Both y and |c| are the same size	samesize(y,c)
Y and |c| are the same size	samesize(y,c)
Both y and |c| are the same size	samesize(y,c)
Both Y. and |c| are the same size	samesize(y,c)
Y is the same size as |c|	samesize(y,c)
Y. and |c| both are the same size	samesize(y,c)
|D| is the same shape as |d|	sameshape(d,d)
|D| and |d| are both the same shape	sameshape(d,d)
|D| and |d| both are the same shape	sameshape(d,d)
Both |d| and |d| are the same shape	sameshape(d,d)
|D| and |d| are the same shape	sameshape(d,d)
Both |d| and |d| are the same shape	sameshape(d,d)
X. is to the left of |a|	leftof(x,a)
X is to the left of |a|	leftof(x,a)
Both Z. and |c| are in the same row	samerow(z,c)
Z. and |c| both are in the same row	samerow(z,c)
Z. and |c| are in the same row	samerow(z,c)
Z and |c| are both in the same row	samerow(z,c)
Both z and |c| are in the same row	samerow(z,c)
Z is in the same row as |c|	samerow(z,c)
Z and |c| both are in the same row	samerow(z,c)
Both Z. and |c| are in the same row	samerow(z,c)
Z. and |c| are both in the same row	samerow(z,c)
Z. is in the same row as |c|	samerow(z,c)
Both z and |c| are in the same row	samerow(z,c)
Z and |c| are in the same row	samerow(z,c)
|A| and x are in the same column	samecol(a,x)
|A| and x are both in the same column	samecol(a,x)
Both |a| and X. are in the same column	samecol(a,x)
Both |a| and x are in the same column	samecol(a,x)
Both |a| and X. are in the same column	samecol(a,x)
|A| and X. both are in the same column	samecol(a,x)
Both |a| and x are in the same column	samecol(a,x)
|A| is in the same column as x	samecol(a,x)
|A| and x both are in the same column	samecol(a,x)
|A| and X. are in the same column	samecol(a,x)
|A| and X. are both in the same column	samecol(a,x)
Y adjoins y	adjoins(y,y)
Y. adjoins y	adjoins(y,y)
|F| and |f| both are in the same column	samecol(f,f)
|F| and |f| are both in the same column	samecol(f,f)
|F| is in the same column as |f|	samecol(f,f)
Both |f| and |f| are in the same column	samecol(f,f)
|F| and |f| are in the same column	samecol(f,f)
Both |f| and |f| are in the same column	samecol(f,f)
|C| is in back of |d|	backof(c,d)
|D| likes |f|	likes(d,f)
Z. adjoins y	adjoins(z,y)
Z adjoins y	adjoins(z,y)
Z likes |d|	likes(z,d)
Z. likes |d|	likes(z,d)
|B| is smaller than |e|	smaller(b,e)
|A| is to the right of x	rightof(a,x)
X is larger than y	larger(x,y)
X	larger(x,y)
X. is larger than y	larger(x,y)
Z	larger(z,y)
Z is larger than y	larger(z,y)
Z. is larger than y	larger(z,y)
|B| is in back of y	backof(b,y)
|D| is to the right of x	rightof(d,x)
X. is in back of x	backof(x,x)
X is in back of x	backof(x,x)
|A| is larger than |b|	larger(a,b)
X and y both are the same shape	sameshape(x,y)
X. and Y. are both the same shape	sameshape(x,y)
X and y are the same shape	sameshape(x,y)
X. and y both are the same shape	sameshape(x,y)
X. and Y. are the same shape	sameshape(x,y)
X and Y. are both the same shape	sameshape(x,y)
Both X. and Y. are the same shape	sameshape(x,y)
X and Y. both are the same shape	sameshape(x,y)
Both X. and Y. are the same shape	sameshape(x,y)
X. and y are the same shape	sameshape(x,y)
Both x and Y. are the same shape	sameshape(x,y)
X and y are both the same shape	sameshape(x,y)
X. and Y. both are the same shape	sameshape(x,y)
X	sameshape(x,y)
X and Y. are the same shape	sameshape(x,y)
X is the same shape as y	sameshape(x,y)
Both x and y are the same shape	sameshape(x,y)
Both x and y are the same shape	sameshape(x,y)
Both X. and y are the same shape	sameshape(x,y)
Both X. and y are the same shape	sameshape(x,y)
X. and y are both the same shape	sameshape(x,y)
X. is the same shape as y	sameshape(x,y)
Both x and Y. are the same shape	sameshape(x,y)
|F| is to the right of x	rightof(f,x)
|D| is in front of |f|	frontof(d,f)
|F| adjoins y	adjoins(f,y)
|E| likes |e|	likes(e,e)
|F| is small	small(f)
|F| is a dodecahedron	dodec(f)
|B| likes |f|	likes(b,f)
|B| and x are in the same row	samerow(b,x)
|B| and x both are in the same row	samerow(b,x)
Both |b| and x are in the same row	samerow(b,x)
|B| is in the same row as x	samerow(b,x)
|B| and X. are in the same row	samerow(b,x)
|B| and X. both are in the same row	samerow(b,x)
Both |b| and X. are in the same row	samerow(b,x)
|B| and X. are both in the same row	samerow(b,x)
|B| and x are both in the same row	samerow(b,x)
Both |b| and x are in the same row	samerow(b,x)
Both |b| and X. are in the same row	samerow(b,x)
X is smaller than |e|	smaller(x,e)
X. is smaller than |e|	smaller(x,e)
Y. likes y	likes(y,y)
Y likes y	likes(y,y)
|E| and |f| are both the same shape	sameshape(e,f)
|E| and |f| are the same shape	sameshape(e,f)
Both |e| and |f| are the same shape	sameshape(e,f)
Both |e| and |f| are the same shape	sameshape(e,f)
|E| is the same shape as |f|	sameshape(e,f)
|E| and |f| both are the same shape	sameshape(e,f)
Both |d| and Z. are the same size	samesize(d,z)
Both |d| and z are the same size	samesize(d,z)
|D| and Z. are both the same size	samesize(d,z)
Both |d| and z are the same size	samesize(d,z)
|D| and z are the same size	samesize(d,z)
|D| and Z. both are the same size	samesize(d,z)
|D| and Z. are the same size	samesize(d,z)
|D| and z both are the same size	samesize(d,z)
|D| and z are both the same size	samesize(d,z)
Both |d| and Z. are the same size	samesize(d,z)
Both |e| and |f| are the same size	samesize(e,f)
Both |e| and |f| are the same size	samesize(e,f)
|E| and |f| are the same size	samesize(e,f)
|E| is the same size as |f|	samesize(e,f)
|E| and |f| both are the same size	samesize(e,f)
|E| and |f| are both the same size	samesize(e,f)
|B| is smaller than |c|	smaller(b,c)
|B| likes |a|	likes(b,a)
X likes x	likes(x,x)
X. likes x	likes(x,x)
|A| is smaller than |b|	smaller(a,b)
|E| is to the left of y	leftof(e,y)
Z. adjoins |b|	adjoins(z,b)
Z adjoins |b|	adjoins(z,b)
|B| is larger than |e|	larger(b,e)
Both |e| and y are in the same column	samecol(e,y)
Both |e| and Y. are in the same column	samecol(e,y)
|E| and Y. are in the same column	samecol(e,y)
Both |e| and y are in the same column	samecol(e,y)
|E| and y are both in the same column	samecol(e,y)
|E| is in the same column as y	samecol(e,y)
|E| and Y. are both in the same column	samecol(e,y)
|E| and Y. both are in the same column	samecol(e,y)
Both |e| and Y. are in the same column	samecol(e,y)
|E| and y are in the same column	samecol(e,y)
|E| and y both are in the same column	samecol(e,y)
Both x and |c| are the same size	samesize(x,c)
Both x and |c| are the same size	samesize(x,c)
X. and |c| both are the same size	samesize(x,c)
X. and |c| are the same size	samesize(x,c)
Both X. and |c| are the same size	samesize(x,c)
X and |c| are both the same size	samesize(x,c)
X. and |c| are both the same size	samesize(x,c)
X and |c| both are the same size	samesize(x,c)
X and |c| are the same size	samesize(x,c)
X is the same size as |c|	samesize(x,c)
X. is the same size as |c|	samesize(x,c)
Both X. and |c| are the same size	samesize(x,c)
|D| likes x	likes(d,x)
X is to the right of x	rightof(x,x)
X. is to the right of x	rightof(x,x)
Z. is to the right of y	rightof(z,y)
Z is to the right of y	rightof(z,y)
|F| is to the left of |d|	leftof(f,d)
|B| is larger than |d|	larger(b,d)
|E| is larger than |c|	larger(e,c)
|E| is in front of x	frontof(e,x)
|A| is the same size as |b|	samesize(a,b)
|A| and |b| both are the same size	samesize(a,b)
|A| and |b| are the same size	samesize(a,b)
Both |a| and |b| are the same size	samesize(a,b)
|A| and |b| are both the same size	samesize(a,b)
Both |a| and |b| are the same size	samesize(a,b)
X. is a cube	cube(x)
X is a cube	cube(x)
Y is the same shape as |b|	sameshape(y,b)
Y and |b| are both the same shape	sameshape(y,b)
Y and |b| are the same shape	sameshape(y,b)
Y. and |b| are both the same shape	sameshape(y,b)
Both Y. and |b| are the same shape	sameshape(y,b)
Y and |b| both are the same shape	sameshape(y,b)
Y. is the same shape as |b|	sameshape(y,b)
Both Y. and |b| are the same shape	sameshape(y,b)
Y. and |b| are the same shape	sameshape(y,b)
Both y and |b| are the same shape	sameshape(y,b)
Both y and |b| are the same shape	sameshape(y,b)
Y. and |b| both are the same shape	sameshape(y,b)
|B| is larger than |c|	larger(b,c)
Y. is to the left of |e|	leftof(y,e)
Y is to the left of |e|	leftof(y,e)
Y and |e| both are in the same row	samerow(y,e)
Both Y. and |e| are in the same row	samerow(y,e)
Both Y. and |e| are in the same row	samerow(y,e)
Y is in the same row as |e|	samerow(y,e)
Both y and |e| are in the same row	samerow(y,e)
Y. is in the same row as |e|	samerow(y,e)
Y and |e| are both in the same row	samerow(y,e)
Y. and |e| are in the same row	samerow(y,e)
Y. and |e| both are in the same row	samerow(y,e)
Y. and |e| are both in the same row	samerow(y,e)
Y and |e| are in the same row	samerow(y,e)
Both y and |e| are in the same row	samerow(y,e)
|C| and |f| both are the same size	samesize(c,f)
|C| and |f| are the same size	samesize(c,f)
|C| is the same size as |f|	samesize(c,f)
|C| and |f| are both the same size	samesize(c,f)
Both |c| and |f| are the same size	samesize(c,f)
Both |c| and |f| are the same size	samesize(c,f)
Y is in front of |a|	frontof(y,a)
Y. is in front of |a|	frontof(y,a)
|B| is to the right of y	rightof(b,y)
Z is in front of |b|	frontof(z,b)
Z. is in front of |b|	frontof(z,b)
|A| is medium	medium(a)
Z. is smaller than |b|	smaller(z,b)
Z is smaller than |b|	smaller(z,b)
|F| is in front of |d|	frontof(f,d)
|D| is to the left of |b|	leftof(d,b)
|A| adjoins |c|	adjoins(a,c)
|C| is in front of |b|	frontof(c,b)
X and Z. are both the same size	samesize(x,z)
X. and Z. are both the same size	samesize(x,z)
X. and z both are the same size	samesize(x,z)
X. and Z. both are the same size	samesize(x,z)
Both x and z are the same size	samesize(x,z)
Both X. and Z. are the same size	samesize(x,z)
X and z both are the same size	samesize(x,z)
Both X. and z are the same size	samesize(x,z)
X and Z. are the same size	samesize(x,z)
X. and z are both the same size	samesize(x,z)
Both x and z are the same size	samesize(x,z)
Both x and Z. are the same size	samesize(x,z)
Both X. and z are the same size	samesize(x,z)
X. and z are the same size	samesize(x,z)
X and z are both the same size	samesize(x,z)
Both x and Z. are the same size	samesize(x,z)
X and Z. both are the same size	samesize(x,z)
X. and Z. are the same size	samesize(x,z)
Both X. and Z. are the same size	samesize(x,z)
X and z are the same size	samesize(x,z)
Z is smaller than |e|	smaller(z,e)
Z. is smaller than |e|	smaller(z,e)
|A| and |e| are in the same column	samecol(a,e)
Both |a| and |e| are in the same column	samecol(a,e)
|A| and |e| are both in the same column	samecol(a,e)
|A| is in the same column as |e|	samecol(a,e)
|A| and |e| both are in the same column	samecol(a,e)
Both |a| and |e| are in the same column	samecol(a,e)
|E| is larger than |d|	larger(e,d)
X is smaller than |f|	smaller(x,f)
X. is smaller than |f|	smaller(x,f)
|A| is a cube	cube(a)
|B| is the same shape as |d|	sameshape(b,d)
|B| and |d| both are the same shape	sameshape(b,d)
Both |b| and |d| are the same shape	sameshape(b,d)
|B| and |d| are the same shape	sameshape(b,d)
|B| and |d| are both the same shape	sameshape(b,d)
Both |b| and |d| are the same shape	sameshape(b,d)
|C| is in back of |f|	backof(c,f)
Y. is larger than |b|	larger(y,b)
Y is larger than |b|	larger(y,b)
|B| is smaller than |b|	smaller(b,b)
Z. is in front of y	frontof(z,y)
Z is in front of y	frontof(z,y)
|C| and |c| are both the same shape	sameshape(c,c)
|C| and |c| both are the same shape	sameshape(c,c)
Both |c| and |c| are the same shape	sameshape(c,c)
|C| and |c| are the same shape	sameshape(c,c)
Both |c| and |c| are the same shape	sameshape(c,c)
|C| is the same shape as |c|	sameshape(c,c)
|E| is smaller than x	smaller(e,x)
|E| is to the right of |c|	rightof(e,c)
|B| adjoins |a|	adjoins(b,a)
|F| is in back of |d|	backof(f,d)
|D| and |d| both are the same size	samesize(d,d)
Both |d| and |d| are the same size	samesize(d,d)
|D| is the same size as |d|	samesize(d,d)
|D| and |d| are the same size	samesize(d,d)
Both |d| and |d| are the same size	samesize(d,d)
|D| and |d| are both the same size	samesize(d,d)
Y is in front of x	frontof(y,x)
Y. is in front of x	frontof(y,x)
Both |e| and |c| are the same shape	sameshape(e,c)
|E| and |c| are the same shape	sameshape(e,c)
|E| is the same shape as |c|	sameshape(e,c)
|E| and |c| are both the same shape	sameshape(e,c)
Both |e| and |c| are the same shape	sameshape(e,c)
|E| and |c| both are the same shape	sameshape(e,c)
X is medium	medium(x)
X. is medium	medium(x)
|A| and |f| are both the same shape	sameshape(a,f)
|A| is the same shape as |f|	sameshape(a,f)
|A| and |f| both are the same shape	sameshape(a,f)
|A| and |f| are the same shape	sameshape(a,f)
Both |a| and |f| are the same shape	sameshape(a,f)
Both |a| and |f| are the same shape	sameshape(a,f)
|D| is to the right of |c|	rightof(d,c)
|D| adjoins y	adjoins(d,y)
Z. is to the left of |c|	leftof(z,c)
Z is to the left of |c|	leftof(z,c)
|A| likes |e|	likes(a,e)
|B| is to the left of x	leftof(b,x)
|E| is in back of |f|	backof(e,f)
|D| is smaller than |c|	smaller(d,c)
|B| and x both are in the same column	samecol(b,x)
Both |b| and x are in the same column	samecol(b,x)
Both |b| and x are in the same column	samecol(b,x)
Both |b| and X. are in the same column	samecol(b,x)
|B| and x are in the same column	samecol(b,x)
|B| and X. are both in the same column	samecol(b,x)
|B| and X. both are in the same column	samecol(b,x)
|B| is in the same column as x	samecol(b,x)
|B| and x are both in the same column	samecol(b,x)
Both |b| and X. are in the same column	samecol(b,x)
|B| and X. are in the same column	samecol(b,x)
|A| is in front of |c|	frontof(a,c)
|E| is in front of |f|	frontof(e,f)
|C| and |f| are both in the same row	samerow(c,f)
Both |c| and |f| are in the same row	samerow(c,f)
|C| is in the same row as |f|	samerow(c,f)
Both |c| and |f| are in the same row	samerow(c,f)
|C| and |f| both are in the same row	samerow(c,f)
|C| and |f| are in the same row	samerow(c,f)
|E| is smaller than |b|	smaller(e,b)
|B| likes |b|	likes(b,b)
X. and |f| both are in the same column	samecol(x,f)
X and |f| both are in the same column	samecol(x,f)
X and |f| are in the same column	samecol(x,f)
X is in the same column as |f|	samecol(x,f)
X. and |f| are both in the same column	samecol(x,f)
X. and |f| are in the same column	samecol(x,f)
Both x and |f| are in the same column	samecol(x,f)
Both X. and |f| are in the same column	samecol(x,f)
Both X. and |f| are in the same column	samecol(x,f)
Both x and |f| are in the same column	samecol(x,f)
X and |f| are both in the same column	samecol(x,f)
X. is in the same column as |f|	samecol(x,f)
|A| is in front of |d|	frontof(a,d)
|F| is happy	happy(f)
|C| and x are both the same shape	sameshape(c,x)
|C| and x are the same shape	sameshape(c,x)
|C| is the same shape as x	sameshape(c,x)
|C| and X. are both the same shape	sameshape(c,x)
|C| and x both are the same shape	sameshape(c,x)
Both |c| and X. are the same shape	sameshape(c,x)
|C| and X. are the same shape	sameshape(c,x)
Both |c| and x are the same shape	sameshape(c,x)
Both |c| and X. are the same shape	sameshape(c,x)
|C| and X. both are the same shape	sameshape(c,x)
Both |c| and x are the same shape	sameshape(c,x)
|C| is in front of |a|	frontof(c,a)
|E| and |b| are both in the same column	samecol(e,b)
|E| is in the same column as |b|	samecol(e,b)
Both |e| and |b| are in the same column	samecol(e,b)
|E| and |b| both are in the same column	samecol(e,b)
|E| and |b| are in the same column	samecol(e,b)
Both |e| and |b| are in the same column	samecol(e,b)
Y. is smaller than |e|	smaller(y,e)
Y is smaller than |e|	smaller(y,e)
|A| and |a| are in the same row	samerow(a,a)
Both |a| and |a| are in the same row	samerow(a,a)
|A| is in the same row as |a|	samerow(a,a)
Both |a| and |a| are in the same row	samerow(a,a)
|A| and |a| both are in the same row	samerow(a,a)
|A| and |a| are both in the same row	samerow(a,a)
Z. and Z. both are in the same column	samecol(z,z)
Z. and Z. are in the same column	samecol(z,z)
Both z and z are in the same column	samecol(z,z)
Z and Z. both are in the same column	samecol(z,z)
Both z and z are in the same column	samecol(z,z)
Z and Z. are both in the same column	samecol(z,z)
Both Z. and Z. are in the same column	samecol(z,z)
Both Z. and z are in the same column	samecol(z,z)
Both z and Z. are in the same column	samecol(z,z)
Z. and Z. are both in the same column	samecol(z,z)
Both Z. and z are in the same column	samecol(z,z)
Both z and Z. are in the same column	samecol(z,z)
Z and z are both in the same column	samecol(z,z)
Z. and z are both in the same column	samecol(z,z)
Z. and z are in the same column	samecol(z,z)
Z and Z. are in the same column	samecol(z,z)
Z. and z both are in the same column	samecol(z,z)
Z and z both are in the same column	samecol(z,z)
Z and z are in the same column	samecol(z,z)
Both Z. and Z. are in the same column	samecol(z,z)
|B| and |c| both are in the same column	samecol(b,c)
|B| is in the same column as |c|	samecol(b,c)
|B| and |c| are both in the same column	samecol(b,c)
Both |b| and |c| are in the same column	samecol(b,c)
Both |b| and |c| are in the same column	samecol(b,c)
|B| and |c| are in the same column	samecol(b,c)
|D| and |d| are both in the same row	samerow(d,d)
Both |d| and |d| are in the same row	samerow(d,d)
|D| is in the same row as |d|	samerow(d,d)
|D| and |d| are in the same row	samerow(d,d)
Both |d| and |d| are in the same row	samerow(d,d)
|D| and |d| both are in the same row	samerow(d,d)
|D| is in back of |c|	backof(d,c)
|D| is happy	happy(d)
Y adjoins |e|	adjoins(y,e)
Y. adjoins |e|	adjoins(y,e)
|F| is smaller than |e|	smaller(f,e)
|E| and Z. are both the same shape	sameshape(e,z)
|E| and Z. are the same shape	sameshape(e,z)
|E| and Z. both are the same shape	sameshape(e,z)
Both |e| and Z. are the same shape	sameshape(e,z)
|E| and z are both the same shape	sameshape(e,z)
|E| and z both are the same shape	sameshape(e,z)
|E| and z are the same shape	sameshape(e,z)
Both |e| and z are the same shape	sameshape(e,z)
Both |e| and Z. are the same shape	sameshape(e,z)
Both |e| and z are the same shape	sameshape(e,z)
|B| is to the left of |a|	leftof(b,a)
|C| is to the right of |e|	rightof(c,e)
Z. and |d| are the same shape	sameshape(z,d)
Z and |d| are the same shape	sameshape(z,d)
Z. and |d| are both the same shape	sameshape(z,d)
Z. is the same shape as |d|	sameshape(z,d)
Both Z. and |d| are the same shape	sameshape(z,d)
Both z and |d| are the same shape	sameshape(z,d)
Both z and |d| are the same shape	sameshape(z,d)
Z. and |d| both are the same shape	sameshape(z,d)
Z is the same shape as |d|	sameshape(z,d)
Z and |d| are both the same shape	sameshape(z,d)
Both Z. and |d| are the same shape	sameshape(z,d)
Z and |d| both are the same shape	sameshape(z,d)
|C| is smaller than |b|	smaller(c,b)
|B| adjoins |d|	adjoins(b,d)
|D| is smaller than |d|	smaller(d,d)
|D| is to the right of |a|	rightof(d,a)
Both z and |c| are the same size	samesize(z,c)
Z. is the same size as |c|	samesize(z,c)
Z. and |c| are the same size	samesize(z,c)
Z and |c| both are the same size	samesize(z,c)
Z is the same size as |c|	samesize(z,c)
Z and |c| are the same size	samesize(z,c)
Z. and |c| both are the same size	samesize(z,c)
Both z and |c| are the same size	samesize(z,c)
Both Z. and |c| are the same size	samesize(z,c)
Z. and |c| are both the same size	samesize(z,c)
Both Z. and |c| are the same size	samesize(z,c)
Z and |c| are both the same size	samesize(z,c)
|A| is to the left of |d|	leftof(a,d)
Y likes |c|	likes(y,c)
Y. likes |c|	likes(y,c)
Z is in the same column as |a|	samecol(z,a)
Both Z. and |a| are in the same column	samecol(z,a)
Both Z. and |a| are in the same column	samecol(z,a)
Z and |a| are both in the same column	samecol(z,a)
Z and |a| both are in the same column	samecol(z,a)
Z. is in the same column as |a|	samecol(z,a)
Z. and |a| are in the same column	samecol(z,a)
Z. and |a| are both in the same column	samecol(z,a)
Both z and |a| are in the same column	samecol(z,a)
Z. and |a| both are in the same column	samecol(z,a)
Z and |a| are in the same column	samecol(z,a)
Both z and |a| are in the same column	samecol(z,a)
Both |e| and |b| are in the same row	samerow(e,b)
|E| and |b| are both in the same row	samerow(e,b)
|E| and |b| both are in the same row	samerow(e,b)
|E| is in the same row as |b|	samerow(e,b)
|E| and |b| are in the same row	samerow(e,b)
Both |e| and |b| are in the same row	samerow(e,b)
X is larger than |b|	larger(x,b)
X. is larger than |b|	larger(x,b)
|A| is a dodecahedron	dodec(a)
|D| is a tetrahedron	tet(d)
|C| is to the left of |d|	leftof(c,d)
Z and |d| are the same size	samesize(z,d)
Z and |d| both are the same size	samesize(z,d)
Z. and |d| both are the same size	samesize(z,d)
Both z and |d| are the same size	samesize(z,d)
Z and |d| are both the same size	samesize(z,d)
Both Z. and |d| are the same size	samesize(z,d)
Both z and |d| are the same size	samesize(z,d)
Z. and |d| are the same size	samesize(z,d)
Both Z. and |d| are the same size	samesize(z,d)
Z. and |d| are both the same size	samesize(z,d)
Z. is the same size as |d|	samesize(z,d)
Z is the same size as |d|	samesize(z,d)
Y. is larger than |c|	larger(y,c)
Y is larger than |c|	larger(y,c)
|E| and |e| are in the same column	samecol(e,e)
Both |e| and |e| are in the same column	samecol(e,e)
Both |e| and |e| are in the same column	samecol(e,e)
|E| and |e| are both in the same column	samecol(e,e)
|E| is in the same column as |e|	samecol(e,e)
|E| and |e| both are in the same column	samecol(e,e)
|F| is in front of |e|	frontof(f,e)
|F| is large	large(f)
Both |d| and |b| are in the same row	samerow(d,b)
Both |d| and |b| are in the same row	samerow(d,b)
|D| and |b| both are in the same row	samerow(d,b)
